GM_vol;index_type;page_start;page_end;
1;persons;747;753;
1;locations;754;766;
1;ship names;767;771;
1;other;772;782;
2;persons;829;837;
2;locations;838;851;
2;ship names;852;856;
2;other;857;870;
3;persons;955;966;
3;locations;967;986;
3;ship names;987;991;
3;other;992;1007;
4;persons;841;853;
4;locations;854;873;
4;ship names;874;877;
4;other;878;893;
5;persons;867;883;
5;locations;884;903;
5;ship names;904;909;
5;other;910;928;
6;persons;927;948;
6;locations;949;971;
6;ship names;972;979;
6;other;980;1000;
7;persons;765;788;
7;locations;789;809;
7;ship names;810;817;
7;other;818;838;
8;persons;245;254;
8;locations;255;264;
8;ship names;265;267;
8;other;268;278;
9;persons;833;853;
9;locations;854;869;
9;ship names;870;876;
9;other;877;896;
10;persons;1092;1116;
10;locations;1117;1136;
10;ship names;1137;1142;
10;other;1143;1162;
11;persons;875;891;
11;locations;892;909;
11;ship names;910;916;
11;other;917;954;
12;persons;619;636;
12;locations;637;651;
12;ship names;652;655;
12;other;656;686;
13;persons;635;654;
13;locations;655;670;
13;ship names;671;675;
13;other;676;702;
